Symbol,ShortName,IndustryName,PROVINCE,CITY,MAINBUSSINESS,Validated_Symbol
000001,平安银行,货币金融服务,广东省,深圳市,办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经人民银行批准发行或买卖人民币有价证券；外汇存款、汇款；境内境外借款；在境内境外发行或代理发行外币有价证券外汇存款、汇款、境内境外汇借款等。,000001.SZ
000002,万科A,房地产业,广东省,深圳市,房地产、贸易及零售等。,000002.SZ
000003,PT 金田A,综合类,广东省,深圳市,房地产。,000003.SS
000004,ST 国华,软件和信息技术服务业,广东省,深圳市,计算机软件及生物制药,000004.SZ
000005,ST 星源,生态保护和环境治理业,广东省,深圳市,房地产、交通运输、商务咨询、软件等。,000005.SS
000006,深振业A,房地产业,广东省,深圳市,房地产开发与经营。,000006.SZ
000007,全新好,房地产业,广东省,深圳市,酒店业务、物业管理和物业租赁,000007.SZ
000008,神州高铁,铁路、船舶、航空航天和其它运输设备制造业,北京市,北京市,轨道交通运营维护业务。,000008.SZ
000009,中国宝安,综合,广东省,深圳市,房地产开发经营,000009.SZ
000010,美丽生态,土木工程建筑业,广东省,深圳市,"市政隧道建设、园林绿化为核心业务,并涉及公路、环保、建筑工程施工、城市及道路照明、水利水电、河湖整治等其他专业性业务。",000010.SZ
000011,深物业A,房地产业,广东省,深圳市,房地产及相关业务。,000011.SZ
000012,南玻A,非金属矿物制品业,广东省,深圳市,浮法玻璃产品的加工制造,000012.SZ
000013,ST 石化A,能源批发业,广东省,深圳市,化工新材料、精细化工、生物工程、化纤、塑料加工及其相关工业产品的开发、生产、销售。,000013.SS
000014,沙河股份,房地产业,广东省,深圳市,房地产开发与销售。,000014.SZ
000015,PT 中浩A,综合类,广东省,深圳市,食品饮料、厨具、家具等。,000015.SS
000016,深康佳A,计算机、通信和其他电子设备制造业,广东省,深圳市,电视机、移动电话等家用电器。,000016.SZ
000017,深中华A,铁路、船舶、航空航天和其它运输设备制造业,广东省,深圳市,自行车及其零配件。,000017.SZ
000018,神州长城,建筑装饰和其他建筑业,广东省,深圳市,以棉布为主的纺织印染业务。,000018.SS
000019,深粮控股,批发业,广东省,深圳市,"茶及天然植物精深加工为主的食品原料(配料)生产、研发和销售业务,粮油储备、粮油贸易、粮油加工等粮油流通及粮油储备服务业务。",000019.SZ
000020,深华发A,计算机、通信和其他电子设备制造业,广东省,深圳市,生产销售彩电、印制电路板、注塑件等电子产品和经营超市。,000020.SZ
000021,深科技,计算机、通信和其他电子设备制造业,广东省,深圳市,计算机硬件、通讯设备等。,000021.SZ
000022,深赤湾A,水上运输业,广东省,深圳市,港口装卸、散货灌包、保税仓储运输。,000022.SS
000023,深天地A,非金属矿物制品业,广东省,深圳市,商品混凝土及其原材料的生产、销售。,
000024,招商地产,房地产业,广东省,深圳市,房地产开发经营、科研技术服务、兴办实业。,
000025,特力A,批发业,广东省,深圳市,"投资兴办实业,金属加工机械,通用零件的进出口业务。",000025.SZ
000026,飞亚达,零售业,广东省,深圳市,各类钟表及配件。,000026.SZ
000027,深圳能源,电力、热力生产和供应业,广东省,深圳市,各种常规能源和新能源的开发、生产、购销；投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等。,000027.SZ
000028,国药一致,批发业,广东省,深圳市,医药批发、零售等。,000028.SZ
000029,深深房A,房地产业,广东省,深圳市,房地产及物业管理。,000029.SZ
000030,富奥股份,汽车制造业,吉林省,长春市,进出口业务。,000030.SZ
000031,大悦城,房地产业,广东省,深圳市,房地产开发经营和实业投资。,000031.SZ
000032,深桑达A,建筑安装业,广东省,深圳市,通信设备、计算机及软件、办公室自动化设备等,000032.SZ
000033,新都酒店,住宿业,广东省,深圳市,酒店、商场、餐厅等。,000033.SS
000034,神州数码,批发业,广东省,深圳市,1、通讯服务运营、数据与语音服务、通讯设备的研制、开发、生产与销售、软件开发；2、经营国内商业、物资代销业；3、进出口贸易。,000034.SZ
000035,中国天楹,生态保护和环境治理业,江苏省,海安市,"以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目,研发、生产、销售垃圾焚烧发电及环保成套设备。",000035.SZ
000036,华联控股,房地产业,广东省,深圳市,综合性房地产开发及运营,000036.SZ
000037,深南电A,电力、热力生产和供应业,广东省,深圳市,热电供应及有关工程承包。,000037.SZ
000038,深大通,商务服务业,广东省,深圳市,房地产开发、国内商业、物资供销业等。,000038.SS
000039,中集集团,金属制品业,广东省,深圳市,干货集装箱制造。,000039.SZ
000040,东旭蓝天,电力、热力生产和供应业,广东省,深圳市,房地产开发与经营。,000040.SS
000042,中洲控股,房地产业,广东省,深圳市,房地产开发与经营。,000042.SZ
